pedido_id,data_pedido,loja,canal_aquisicao,n_itens,categoria_principal,receita_liquida,desconto_aplicado,cliente_id
PED000055,2025-07-06,Centro,Orgânico,3,Vitaminas,171.95,0.02,CLI03206
PED000056,2025-07-24,Shopping Norte,Influencer,4,Whey Protein,409.91,0.0,CLI03877
PED000057,2025-07-23,Shopping Norte,Busca Paga,2,Vitaminas,207.24,0.06,CLI01793
PED000058,2025-07-09,Centro,Orgânico,3,Whey Protein,208.26,0.04,CLI00202
PED000059,2025-07-02,Barra,Busca Paga,2,Creatina,163.47,0.07,CLI03601
PED000060,2025-07-17,Shopping Norte,Busca Paga,4,Whey Protein,584.15,0.02,CLI00967
PED000061,2025-07-23,Barra,Influencer,2,Bebidas Funcionais,64.59,0.01,CLI02483
PED000062,2025-07-08,Centro,Orgânico,1,Whey Protein,186.34,0.0,CLI02066
PED000063,2025-07-08,Centro,Orgânico,2,Vitaminas,166.87,0.04,CLI04151
PED000064,2025-07-08,Barra,Instagram Ads,2,Vitaminas,190.64,0.0,CLI00833
PED000065,2025-07-05,Shopping Norte,Instagram Ads,1,Vitaminas,52.58,0.05,CLI03676
PED000066,2025-07-04,Centro,Busca Paga,1,Barras e Snacks,18.98,0.07,CLI00165
PED000067,2025-07-19,Centro,Influencer,2,Whey Protein,249.79,0.06,CLI01309
PED000068,2025-07-09,Shopping Norte,Orgânico,3,Creatina,418.98,0.05,CLI03578
PED000069,2025-07-22,Barra,Busca Paga,4,Creatina,264.26,0.0,CLI01302
PED000070,2025-07-04,Barra,Orgânico,2,Whey Protein,379.86,0.0,CLI00041
PED000071,2025-07-12,Centro,CRM/Email,3,Barras e Snacks,429.75,0.01,CLI00455
PED000072,2025-07-21,Shopping Norte,Orgânico,2,Barras e Snacks,130.22,0.03,CLI03364
PED000073,2025-07-22,Barra,Busca Paga,3,Creatina,175.93,0.05,CLI01786
PED000074,2025-07-21,Centro,Instagram Ads,2,Whey Protein,304.2,0.05,CLI02121
PED000075,2025-07-12,Centro,Orgânico,2,Vitaminas,206.82,0.02,CLI01459
PED000076,2025-07-15,Centro,CRM/Email,2,Whey Protein,232.21,0.01,CLI04108
PED000077,2025-07-26,Shopping Norte,Orgânico,3,Barras e Snacks,118.72,0.07,CLI00489
PED000078,2025-07-16,Barra,Busca Paga,3,Bebidas Funcionais,248.28,0.07,CLI01522
PED000079,2025-07-13,Shopping Norte,Orgânico,3,Whey Protein,363.06,0.05,CLI00131
PED000080,2025-07-10,Shopping Norte,Instagram Ads,3,Whey Protein,354.93,0.06,CLI01132
PED000081,2025-07-21,Centro,Busca Paga,4,Whey Protein,294.65,0.06,CLI04844
PED000082,2025-07-05,Shopping Norte,Orgânico,4,Barras e Snacks,266.07,0.02,CLI00432
PED000083,2025-07-11,Centro,Orgânico,2,Creatina,214.17,0.02,CLI04806
PED000084,2025-07-19,Barra,Orgânico,3,Bebidas Funcionais,41.0,0.01,CLI03565
PED000085,2025-07-23,Centro,Busca Paga,2,Whey Protein,209.53,0.07,CLI02737
PED000086,2025-07-03,Shopping Norte,CRM/Email,2,Whey Protein,283.31,0.04,CLI04070
PED000087,2025-07-24,Shopping Norte,Orgânico,1,Bebidas Funcionais,10.98,0.07,CLI02683
PED000088,2025-07-26,Centro,Orgânico,4,Bebidas Funcionais,145.23,0.01,CLI00914
PED000089,2025-07-02,Centro,Busca Paga,3,Whey Protein,317.98,0.04,CLI03931
PED000090,2025-07-13,Barra,Orgânico,2,Bebidas Funcionais,184.47,0.01,CLI01717
PED000091,2025-07-07,Shopping Norte,CRM/Email,3,Whey Protein,234.51,0.0,CLI03999
PED000092,2025-07-24,Centro,CRM/Email,3,Whey Protein,519.24,0.03,CLI04771
PED000093,2025-07-15,Centro,Instagram Ads,1,Creatina,115.14,0.07,CLI01246
PED000094,2025-07-12,Barra,Orgânico,1,Barras e Snacks,14.42,0.08,CLI00918
PED000095,2025-07-15,Shopping Norte,Influencer,1,Whey Protein,210.64,0.07,CLI00285
PED000096,2025-07-11,Shopping Norte,CRM/Email,2,Creatina,313.44,0.07,CLI04666
PED000097,2025-07-11,Centro,Busca Paga,2,Bebidas Funcionais,210.34,0.07,CLI01824
PED000098,2025-07-06,Centro,CRM/Email,3,Whey Protein,418.63,0.03,CLI01683
PED000099,2025-07-12,Centro,Orgânico,2,Bebidas Funcionais,206.63,0.02,CLI01810
PED000100,2025-07-26,Barra,Influencer,4,Whey Protein,234.33,0.07,CLI02947
PED000101,2025-07-09,Centro,Influencer,1,Vitaminas,50.46,0.05,CLI01017
PED000102,2025-07-18,Centro,CRM/Email,2,Vitaminas,163.89,0.08,CLI01390
PED000103,2025-07-14,Barra,Orgânico,3,Barras e Snacks,37.86,0.06,CLI00592
PED000104,2025-07-01,Shopping Norte,Busca Paga,2,Barras e Snacks,31.9,0.01,CLI00918
PED000105,2025-07-12,Centro,Orgânico,1,Vitaminas,45.01,0.07,CLI01896
PED000106,2025-07-18,Shopping Norte,Orgânico,1,Bebidas Funcionais,12.15,0.0,CLI00716
PED000107,2025-07-03,Barra,Orgânico,3,Creatina,313.0,0.07,CLI04905
PED000108,2025-07-23,Centro,Influencer,3,Vitaminas,242.31,0.05,CLI02357
PED000109,2025-07-10,Shopping Norte,Influencer,2,Barras e Snacks,204.11,0.08,CLI00755
PED000110,2025-07-26,Shopping Norte,Busca Paga,1,Whey Protein,208.82,0.04,CLI00957
PED000111,2025-07-04,Barra,CRM/Email,3,Barras e Snacks,118.0,0.04,CLI02626
PED000112,2025-07-26,Shopping Norte,Orgânico,3,Bebidas Funcionais,331.11,0.03,CLI03592
PED000113,2025-07-14,Shopping Norte,CRM/Email,3,Creatina,297.7,0.01,CLI04600
PED000114,2025-07-03,Shopping Norte,CRM/Email,1,Vitaminas,55.2,0.02,CLI01253
PED000115,2025-07-16,Centro,CRM/Email,2,Creatina,327.16,0.02,CLI01994
PED000116,2025-07-25,Shopping Norte,CRM/Email,1,Creatina,144.99,0.05,CLI00576
PED000117,2025-07-27,Shopping Norte,Instagram Ads,3,Creatina,200.27,0.06,CLI00957
PED000118,2025-07-03,Centro,Orgânico,1,Whey Protein,198.76,0.0,CLI04294
PED000119,2025-07-18,Centro,Busca Paga,1,Vitaminas,53.46,0.06,CLI01240
PED000120,2025-07-06,Shopping Norte,Busca Paga,2,Bebidas Funcionais,66.02,0.02,CLI03924
PED000121,2025-07-21,Centro,Busca Paga,1,Bebidas Funcionais,9.77,0.06,CLI00129
PED000122,2025-07-23,Shopping Norte,Busca Paga,1,Bebidas Funcionais,12.51,0.02,CLI02475
PED000123,2025-07-16,Shopping Norte,Influencer,3,Bebidas Funcionais,225.44,0.07,CLI03125
PED000124,2025-07-13,Shopping Norte,CRM/Email,2,Whey Protein,280.03,0.03,CLI02633
PED000125,2025-07-19,Centro,Instagram Ads,1,Vitaminas,64.82,0.06,CLI03554
PED000126,2025-07-12,Barra,Orgânico,2,Barras e Snacks,181.9,0.04,CLI04090
PED000127,2025-07-03,Shopping Norte,CRM/Email,2,Creatina,263.55,0.03,CLI03016
PED000128,2025-07-26,Shopping Norte,CRM/Email,2,Creatina,131.93,0.04,CLI04761
PED000129,2025-07-27,Shopping Norte,Instagram Ads,2,Vitaminas,122.55,0.06,CLI01005
PED000130,2025-07-21,Barra,Influencer,4,Whey Protein,378.08,0.02,CLI03636
PED000131,2025-07-26,Shopping Norte,Orgânico,2,Vitaminas,265.51,0.06,CLI03417
PED000132,2025-07-12,Shopping Norte,Busca Paga,4,Barras e Snacks,376.69,0.01,CLI01709
PED000133,2025-07-08,Shopping Norte,Orgânico,3,Barras e Snacks,240.91,0.02,CLI04816
PED000134,2025-07-10,Shopping Norte,Instagram Ads,2,Barras e Snacks,31.71,0.05,CLI03041
PED000135,2025-07-22,Shopping Norte,Busca Paga,1,Bebidas Funcionais,11.71,0.04,CLI03504
PED000136,2025-07-25,Centro,Busca Paga,1,Vitaminas,60.84,0.02,CLI00770
PED000137,2025-07-06,Centro,CRM/Email,3,Creatina,284.63,0.0,CLI02602
PED000138,2025-07-07,Barra,Orgânico,2,Vitaminas,107.6,0.03,CLI00708
PED000139,2025-07-22,Shopping Norte,Orgânico,3,Whey Protein,420.09,0.05,CLI02775
PED000140,2025-07-25,Shopping Norte,Instagram Ads,4,Creatina,472.14,0.08,CLI02103
PED000141,2025-07-12,Barra,Instagram Ads,3,Barras e Snacks,243.12,0.03,CLI02369
PED000142,2025-07-01,Barra,CRM/Email,3,Whey Protein,358.4,0.07,CLI01602
PED000143,2025-07-26,Shopping Norte,Instagram Ads,1,Vitaminas,50.25,0.07,CLI03268
PED000144,2025-07-24,Barra,Busca Paga,3,Vitaminas,242.01,0.04,CLI04074
PED000145,2025-07-10,Barra,Orgânico,3,Creatina,463.44,0.01,CLI01986
PED000146,2025-07-02,Centro,Orgânico,4,Creatina,333.84,0.04,CLI00964
PED000147,2025-07-06,Centro,Orgânico,2,Bebidas Funcionais,134.47,0.02,CLI02720
PED000148,2025-07-24,Centro,CRM/Email,3,Whey Protein,382.23,0.04,CLI00457
PED000149,2025-07-16,Shopping Norte,Busca Paga,1,Barras e Snacks,15.35,0.02,CLI00609
PED000150,2025-07-03,Shopping Norte,Orgânico,3,Vitaminas,225.4,0.04,CLI02140
PED000151,2025-07-21,Shopping Norte,Busca Paga,2,Bebidas Funcionais,220.18,0.01,CLI00901
PED000152,2025-07-04,Centro,Busca Paga,1,Bebidas Funcionais,13.3,0.06,CLI00465
PED000153,2025-07-18,Centro,CRM/Email,2,Barras e Snacks,183.76,0.04,CLI04840
PED000154,2025-07-18,Barra,CRM/Email,4,Creatina,468.57,0.05,CLI03898
PED000155,2025-07-05,Centro,Orgânico,3,Creatina,416.58,0.02,CLI02149
PED000156,2025-07-04,Centro,Busca Paga,3,Vitaminas,261.77,0.0,CLI01675
PED000157,2025-07-16,Barra,Orgânico,3,Creatina,262.32,0.07,CLI03292
PED000158,2025-07-04,Barra,Orgânico,1,Bebidas Funcionais,9.13,0.05,CLI01614
PED000159,2025-07-13,Centro,Orgânico,2,Bebidas Funcionais,119.75,0.01,CLI01717
PED000160,2025-07-26,Barra,CRM/Email,3,Whey Protein,505.38,0.05,CLI03698
PED000161,2025-07-03,Barra,Busca Paga,1,Whey Protein,185.83,0.07,CLI01568
PED000162,2025-07-14,Centro,Orgânico,2,Vitaminas,132.76,0.02,CLI00647
PED000163,2025-07-21,Centro,Busca Paga,2,Barras e Snacks,171.28,0.04,CLI04559
PED000164,2025-07-03,Centro,Orgânico,2,Whey Protein,338.5,0.03,CLI00703
PED000165,2025-07-08,Centro,Busca Paga,1,Vitaminas,53.41,0.07,CLI00362
PED000166,2025-07-14,Shopping Norte,Orgânico,3,Bebidas Funcionais,367.0,0.07,CLI00923
PED000167,2025-07-25,Shopping Norte,Instagram Ads,2,Vitaminas,75.87,0.07,CLI03490
PED000168,2025-07-22,Barra,CRM/Email,3,Barras e Snacks,217.0,0.01,CLI00227
PED000169,2025-07-25,Centro,CRM/Email,1,Whey Protein,163.44,0.0,CLI02321
PED000170,2025-07-19,Shopping Norte,Influencer,3,Whey Protein,311.56,0.04,CLI03889
PED000171,2025-07-17,Shopping Norte,Busca Paga,3,Barras e Snacks,177.45,0.07,CLI01207
PED000172,2025-07-22,Centro,Instagram Ads,1,Barras e Snacks,18.47,0.06,CLI01837
PED000173,2025-07-26,Centro,CRM/Email,2,Whey Protein,250.76,0.08,CLI03472
PED000174,2025-07-26,Centro,CRM/Email,4,Whey Protein,337.42,0.06,CLI04677
PED000175,2025-07-25,Barra,Busca Paga,3,Creatina,450.88,0.01,CLI02660
PED000176,2025-07-07,Barra,Busca Paga,3,Whey Protein,207.86,0.08,CLI00163
PED000177,2025-07-21,Centro,Orgânico,4,Creatina,459.55,0.01,CLI00690
PED000178,2025-07-26,Shopping Norte,Instagram Ads,4,Whey Protein,265.98,0.07,CLI03653
PED000179,2025-07-18,Shopping Norte,Busca Paga,2,Creatina,124.99,0.05,CLI04725
PED000180,2025-07-06,Centro,Instagram Ads,4,Vitaminas,296.77,0.06,CLI02658
PED000181,2025-07-10,Shopping Norte,Busca Paga,4,Barras e Snacks,323.67,0.05,CLI00611
PED000182,2025-07-14,Centro,Orgânico,1,Whey Protein,173.84,0.01,CLI04980
PED000183,2025-07-08,Shopping Norte,Busca Paga,4,Bebidas Funcionais,282.17,0.08,CLI01068
PED000184,2025-07-19,Shopping Norte,Influencer,1,Vitaminas,52.48,0.07,CLI04403
PED000185,2025-07-08,Centro,Busca Paga,1,Creatina,110.35,0.06,CLI04655
PED000186,2025-07-27,Centro,Orgânico,2,Creatina,188.09,0.01,CLI01899
PED000187,2025-07-11,Barra,Busca Paga,1,Whey Protein,186.31,0.07,CLI00613
PED000188,2025-07-16,Shopping Norte,CRM/Email,1,Bebidas Funcionais,11.25,0.06,CLI00575
PED000189,2025-07-04,Shopping Norte,Busca Paga,3,Creatina,125.87,0.05,CLI03865
PED000190,2025-07-12,Barra,Busca Paga,2,Bebidas Funcionais,120.01,0.02,CLI02991
PED000191,2025-07-26,Shopping Norte,Instagram Ads,2,Barras e Snacks,25.2,0.04,CLI00190
PED000192,2025-07-01,Shopping Norte,Influencer,4,Barras e Snacks,396.1,0.05,CLI00724
PED000193,2025-07-23,Shopping Norte,Busca Paga,2,Whey Protein,267.72,0.01,CLI00855
PED000194,2025-07-13,Centro,Instagram Ads,4,Whey Protein,529.55,0.03,CLI02258
PED000195,2025-07-14,Shopping Norte,Orgânico,1,Whey Protein,174.28,0.03,CLI02660
PED000196,2025-07-06,Shopping Norte,Busca Paga,2,Barras e Snacks,121.86,0.0,CLI01751
PED000197,2025-07-20,Centro,Orgânico,4,Barras e Snacks,105.8,0.05,CLI04494
PED000198,2025-07-20,Centro,Busca Paga,1,Whey Protein,193.36,0.0,CLI04917
PED000199,2025-07-23,Centro,Instagram Ads,3,Whey Protein,208.64,0.05,CLI02525
PED000200,2025-07-05,Barra,Instagram Ads,2,Whey Protein,207.26,0.05,CLI01987
PED000201,2025-07-23,Shopping Norte,Orgânico,2,Whey Protein,231.97,0.01,CLI01448
PED000202,2025-07-04,Centro,Influencer,3,Vitaminas,203.6,0.05,CLI01847
PED000203,2025-07-01,Shopping Norte,Busca Paga,2,Creatina,183.81,0.08,CLI01111
PED000204,2025-07-19,Shopping Norte,Orgânico,1,Whey Protein,209.18,0.05,CLI03452
PED000205,2025-07-06,Shopping Norte,Influencer,2,Vitaminas,185.21,0.04,CLI02097
PED000206,2025-07-17,Centro,Busca Paga,1,Whey Protein,206.13,0.03,CLI00704
PED000207,2025-07-19,Shopping Norte,Instagram Ads,4,Creatina,592.97,0.03,CLI01357
PED000208,2025-07-01,Barra,Busca Paga,2,Barras e Snacks,27.54,0.05,CLI03373
PED000209,2025-07-04,Shopping Norte,Orgânico,3,Bebidas Funcionais,227.0,0.07,CLI00990
PED000210,2025-07-12,Barra,CRM/Email,1,Vitaminas,65.44,0.04,CLI03450
PED000211,2025-07-19,Centro,Orgânico,2,Vitaminas,111.83,0.07,CLI03190
PED000212,2025-07-03,Centro,Busca Paga,1,Vitaminas,56.17,0.06,CLI03422
PED000213,2025-07-17,Centro,Busca Paga,2,Whey Protein,251.86,0.05,CLI01151
PED000214,2025-07-12,Centro,Orgânico,3,Barras e Snacks,203.16,0.05,CLI01890
PED000215,2025-07-22,Shopping Norte,Influencer,2,Barras e Snacks,179.88,0.07,CLI01636
PED000216,2025-07-19,Shopping Norte,CRM/Email,2,Whey Protein,277.34,0.0,CLI03274
PED000217,2025-07-02,Shopping Norte,CRM/Email,2,Whey Protein,328.46,0.02,CLI03760
PED000218,2025-07-11,Centro,Orgânico,2,Vitaminas,228.05,0.04,CLI04653
PED000219,2025-07-27,Shopping Norte,Busca Paga,1,Creatina,103.07,0.01,CLI00911
PED000220,2025-07-27,Shopping Norte,Busca Paga,3,Creatina,379.64,0.04,CLI01937
PED000221,2025-07-19,Shopping Norte,Instagram Ads,2,Whey Protein,263.73,0.04,CLI01378
PED000222,2025-07-07,Centro,Busca Paga,1,Creatina,149.76,0.02,CLI04932
PED000223,2025-07-19,Centro,CRM/Email,1,Creatina,121.99,0.05,CLI03171
PED000224,2025-07-04,Barra,CRM/Email,2,Vitaminas,227.85,0.03,CLI01910
PED000225,2025-07-12,Centro,Orgânico,4,Barras e Snacks,290.09,0.06,CLI00883
PED000226,2025-07-24,Shopping Norte,Orgânico,2,Bebidas Funcionais,61.08,0.03,CLI02455
PED000227,2025-07-15,Shopping Norte,CRM/Email,2,Vitaminas,64.87,0.08,CLI02820
PED000228,2025-07-23,Barra,Influencer,4,Whey Protein,606.03,0.02,CLI02768
PED000229,2025-07-21,Barra,Orgânico,1,Bebidas Funcionais,12.1,0.04,CLI02000
PED000230,2025-07-03,Barra,Instagram Ads,3,Vitaminas,93.8,0.02,CLI01089
PED000231,2025-07-09,Centro,CRM/Email,1,Whey Protein,197.34,0.07,CLI03199
PED000232,2025-07-04,Barra,Orgânico,1,Creatina,110.86,0.06,CLI00414
PED000233,2025-07-06,Centro,Instagram Ads,2,Vitaminas,91.52,0.06,CLI02423
PED000234,2025-07-03,Barra,Busca Paga,2,Whey Protein,177.76,0.05,CLI02952
PED000235,2025-07-13,Centro,Busca Paga,2,Whey Protein,228.56,0.07,CLI01557
PED000236,2025-07-18,Centro,Influencer,3,Whey Protein,235.48,0.04,CLI01012
PED000237,2025-07-02,Centro,Instagram Ads,2,Whey Protein,180.85,0.06,CLI04946
PED000238,2025-07-22,Barra,Orgânico,2,Creatina,343.58,0.02,CLI02342
PED000239,2025-07-11,Barra,CRM/Email,2,Creatina,163.71,0.01,CLI04233
PED000240,2025-07-26,Barra,Instagram Ads,3,Bebidas Funcionais,130.86,0.03,CLI01949
PED000241,2025-07-15,Shopping Norte,CRM/Email,3,Whey Protein,430.0,0.05,CLI04889
PED000242,2025-07-18,Centro,Busca Paga,3,Vitaminas,341.44,0.08,CLI00227
PED000243,2025-07-01,Shopping Norte,Busca Paga,3,Creatina,165.88,0.02,CLI03172
PED000244,2025-07-21,Shopping Norte,CRM/Email,2,Whey Protein,223.45,0.06,CLI00540
PED000245,2025-07-24,Shopping Norte,Busca Paga,4,Whey Protein,623.09,0.04,CLI03842
PED000246,2025-07-11,Centro,Busca Paga,2,Creatina,227.53,0.04,CLI00740
PED000247,2025-07-15,Centro,Instagram Ads,3,Creatina,493.85,0.01,CLI02793
PED000248,2025-07-20,Centro,Instagram Ads,1,Whey Protein,178.58,0.06,CLI03897
PED000249,2025-07-01,Shopping Norte,Busca Paga,2,Vitaminas,57.49,0.07,CLI03031
PED000250,2025-07-15,Barra,Influencer,2,Creatina,298.18,0.02,CLI01242
PED000251,2025-07-22,Shopping Norte,Orgânico,1,Vitaminas,59.16,0.05,CLI00233
PED000252,2025-07-11,Centro,Orgânico,3,Bebidas Funcionais,178.45,0.02,CLI00491
PED000253,2025-07-18,Barra,Orgânico,2,Barras e Snacks,82.45,0.0,CLI02053
PED000254,2025-07-26,Shopping Norte,Busca Paga,1,Creatina,139.03,0.02,CLI02501
PED000255,2025-07-12,Shopping Norte,Orgânico,3,Vitaminas,386.54,0.04,CLI03233
PED000256,2025-07-24,Centro,Orgânico,2,Creatina,193.3,0.01,CLI02494
PED000257,2025-07-19,Shopping Norte,Instagram Ads,2,Vitaminas,224.18,0.05,CLI00797
PED000258,2025-07-27,Barra,Orgânico,4,Vitaminas,284.27,0.04,CLI03668
PED000259,2025-07-11,Shopping Norte,Orgânico,2,Whey Protein,378.58,0.03,CLI02218
PED000260,2025-07-24,Centro,Orgânico,3,Whey Protein,465.03,0.04,CLI03319
PED000261,2025-07-21,Barra,Orgânico,1,Barras e Snacks,16.71,0.03,CLI01630
PED000262,2025-07-04,Barra,Orgânico,2,Creatina,146.29,0.02,CLI03009
PED000263,2025-07-05,Centro,Busca Paga,4,Whey Protein,625.9,0.0,CLI04747
PED000264,2025-07-05,Shopping Norte,Influencer,2,Barras e Snacks,227.93,0.03,CLI04501
PED000265,2025-07-03,Barra,Orgânico,4,Vitaminas,571.04,0.05,CLI02469
PED000266,2025-07-21,Shopping Norte,Busca Paga,3,Whey Protein,242.37,0.03,CLI00279
PED000267,2025-07-08,Barra,Instagram Ads,2,Vitaminas,119.42,0.0,CLI03157
PED000268,2025-07-04,Centro,Busca Paga,1,Barras e Snacks,14.78,0.08,CLI02799
PED000269,2025-07-04,Shopping Norte,Orgânico,3,Bebidas Funcionais,248.28,0.02,CLI03623
PED000270,2025-07-02,Centro,Orgânico,2,Whey Protein,302.1,0.03,CLI04350
PED000271,2025-07-25,Shopping Norte,Orgânico,1,Whey Protein,165.26,0.05,CLI02965
PED000272,2025-07-15,Shopping Norte,Orgânico,3,Whey Protein,315.49,0.01,CLI00407
PED000273,2025-07-21,Centro,Orgânico,2,Whey Protein,364.62,0.01,CLI01539
PED000274,2025-07-17,Centro,Orgânico,3,Creatina,322.71,0.04,CLI04947
PED000275,2025-07-08,Barra,Busca Paga,3,Vitaminas,258.02,0.04,CLI02387
PED000276,2025-07-11,Shopping Norte,Instagram Ads,2,Whey Protein,220.53,0.06,CLI01482
PED000277,2025-07-23,Barra,CRM/Email,3,Creatina,206.58,0.01,CLI04691
PED000278,2025-07-05,Shopping Norte,Busca Paga,1,Whey Protein,180.45,0.0,CLI00140
PED000279,2025-07-02,Shopping Norte,Instagram Ads,3,Creatina,337.45,0.02,CLI04062
PED000280,2025-07-18,Shopping Norte,Orgânico,3,Vitaminas,277.12,0.03,CLI02762
PED000281,2025-07-18,Barra,Busca Paga,2,Bebidas Funcionais,198.4,0.04,CLI03546
PED000282,2025-07-24,Shopping Norte,Busca Paga,2,Whey Protein,258.11,0.04,CLI02634
PED000283,2025-07-19,Shopping Norte,Busca Paga,2,Whey Protein,195.6,0.01,CLI04692
PED000284,2025-07-27,Centro,CRM/Email,3,Barras e Snacks,204.51,0.04,CLI02556
PED000285,2025-07-19,Centro,Busca Paga,1,Creatina,108.6,0.05,CLI00560
PED000286,2025-07-10,Centro,Orgânico,3,Creatina,400.32,0.03,CLI03492
PED000287,2025-07-25,Shopping Norte,CRM/Email,3,Whey Protein,330.78,0.06,CLI04463
PED000288,2025-07-17,Centro,Influencer,3,Whey Protein,268.47,0.05,CLI02805
PED000289,2025-07-16,Barra,Orgânico,1,Whey Protein,168.73,0.02,CLI04898
PED000290,2025-07-27,Centro,Influencer,3,Vitaminas,320.22,0.08,CLI02367
PED000291,2025-07-25,Shopping Norte,Busca Paga,3,Barras e Snacks,98.55,0.01,CLI00295
