incident_id,started_at,hub,route_id,incident_type,severity,duration_hours,impacted_shipments
INC-0051,2026-07-09 16:00:00,HUB-BH,R-BH-GO,Avaria em veículo,Baixa,15.2,58
INC-0052,2026-07-22 16:00:00,HUB-PR,R-SP-PR,Falha de esteira,Média,16.4,92
INC-0053,2026-07-27 15:00:00,HUB-BH,R-SP-RJ,Falha de esteira,Alta,18.1,313
INC-0054,2026-07-01 05:00:00,HUB-SP,R-SP-RJ,Chuva severa,Crítica,9.9,132
INC-0055,2026-07-10 13:00:00,HUB-PR,R-SP-BH,Chuva severa,Alta,5.2,53
INC-0056,2026-07-19 19:00:00,HUB-PR,R-RJ-NE,Avaria em veículo,Média,7.8,169
INC-0057,2026-07-13 03:00:00,HUB-SP,R-SP-RJ,Chuva severa,Baixa,12.0,117
INC-0058,2026-07-06 14:00:00,HUB-RJ,R-SP-PR,Chuva severa,Alta,10.5,113
INC-0059,2026-07-04 21:00:00,HUB-BH,R-RJ-NE,Indisponibilidade de sistema,Alta,16.2,11
INC-0060,2026-07-21 14:00:00,HUB-GO,R-SP-BH,Avaria em veículo,Alta,3.1,161
INC-0061,2026-07-29 08:00:00,HUB-GO,R-BH-GO,Bloqueio rodoviário,Média,0.9,162
INC-0062,2026-07-14 14:00:00,HUB-GO,R-RJ-NE,Indisponibilidade de sistema,Média,2.0,136
INC-0063,2026-07-16 16:00:00,HUB-GO,R-SP-BH,Avaria em veículo,Baixa,14.9,167
INC-0064,2026-07-15 00:00:00,HUB-SP,R-SP-PR,Ausência de equipe,Média,13.2,97
INC-0065,2026-07-13 10:00:00,HUB-SP,R-RJ-NE,Chuva severa,Média,15.0,19
INC-0066,2026-07-17 21:00:00,HUB-BH,R-RJ-NE,Chuva severa,Crítica,10.7,335
INC-0067,2026-07-06 14:00:00,HUB-PR,R-SP-RJ,Bloqueio rodoviário,Alta,4.9,95
INC-0068,2026-07-02 14:00:00,HUB-PR,R-SP-BH,Ausência de equipe,Média,7.8,72
INC-0069,2026-07-28 23:00:00,HUB-PR,R-PR-CO,Falha de esteira,Baixa,1.2,46
INC-0070,2026-07-17 22:00:00,HUB-SP,R-SP-BH,Avaria em veículo,Média,0.8,32
