date,hub,capacity_shipments,processed_shipments,backlog_shipments,avg_sort_minutes,available_docks,absenteeism_pct,utilization_pct
2026-07-07,HUB-BH,993,1022,78,18.4,4,1.2,102.92
2026-07-07,HUB-PR,998,800,88,34.6,11,2.9,80.16
2026-07-07,HUB-GO,804,778,44,40.5,11,1.3,96.77
2026-07-08,HUB-SP,935,822,70,19.1,5,7.6,87.91
2026-07-08,HUB-RJ,1022,709,69,36.8,4,9.3,69.37
2026-07-08,HUB-BH,967,752,17,20.9,7,3.6,77.77
2026-07-08,HUB-PR,902,728,27,22.2,4,10.9,80.71
2026-07-08,HUB-GO,734,729,62,40.7,7,3.6,99.32
2026-07-09,HUB-SP,1060,1065,41,28.6,10,5.1,100.47
2026-07-09,HUB-RJ,755,664,24,27.7,9,5.7,87.95
2026-07-09,HUB-BH,1086,971,23,23.3,5,9.2,89.41
2026-07-09,HUB-PR,1040,877,59,18.2,10,4.8,84.33
2026-07-09,HUB-GO,956,829,39,36.0,10,5.2,86.72
2026-07-10,HUB-SP,1083,888,78,24.8,9,2.6,81.99
2026-07-10,HUB-RJ,889,892,89,41.0,12,1.2,100.34
2026-07-10,HUB-BH,748,639,27,21.3,12,2.3,85.43
2026-07-10,HUB-PR,786,775,6,36.9,8,1.6,98.6
2026-07-10,HUB-GO,962,932,34,21.8,8,4.2,96.88
2026-07-11,HUB-SP,652,529,45,41.3,10,5.1,81.13
2026-07-11,HUB-RJ,863,819,69,18.1,9,7.8,94.9
2026-07-11,HUB-BH,835,693,21,35.0,8,5.1,82.99
2026-07-11,HUB-PR,900,672,84,25.7,8,11.0,74.67
2026-07-11,HUB-GO,996,1022,74,27.4,12,1.6,102.61
2026-07-12,HUB-SP,1022,816,68,18.8,4,11.1,79.84
2026-07-12,HUB-RJ,974,905,64,30.8,11,8.0,92.92
2026-07-12,HUB-BH,906,915,53,36.0,9,4.1,100.99
2026-07-12,HUB-PR,1057,732,87,27.3,5,3.0,69.25
2026-07-12,HUB-GO,1046,770,70,28.3,7,11.3,73.61
2026-07-13,HUB-SP,704,609,75,41.4,11,10.6,86.51
2026-07-13,HUB-RJ,939,730,3,18.7,8,1.1,77.74
2026-07-13,HUB-BH,1006,731,63,31.1,11,1.4,72.66
2026-07-13,HUB-PR,963,827,76,39.4,10,4.3,85.88
2026-07-13,HUB-GO,747,760,100,33.6,4,8.8,101.74
2026-07-14,HUB-SP,826,831,51,41.8,6,11.0,100.61
2026-07-14,HUB-RJ,845,818,43,30.6,5,10.1,96.8
2026-07-14,HUB-BH,992,683,56,26.1,4,11.1,68.85
2026-07-14,HUB-PR,857,886,64,29.1,4,10.9,103.38
2026-07-14,HUB-GO,779,704,78,19.1,7,2.2,90.37
2026-07-15,HUB-SP,746,616,12,32.6,4,1.7,82.57
2026-07-15,HUB-RJ,788,619,8,41.8,7,5.3,78.55
2026-07-15,HUB-BH,862,980,269,57.7,8,15.2,113.69
2026-07-15,HUB-PR,741,513,89,38.0,12,11.1,69.23
2026-07-15,HUB-GO,1035,901,16,22.7,11,7.6,87.05
2026-07-16,HUB-SP,771,708,32,34.2,5,3.4,91.83
2026-07-16,HUB-RJ,806,651,61,34.2,9,9.2,80.77
2026-07-16,HUB-BH,904,957,142,48.8,10,9.7,105.86
2026-07-16,HUB-PR,1033,788,10,18.6,4,3.9,76.28
2026-07-16,HUB-GO,691,696,7,28.2,8,8.3,100.72
2026-07-17,HUB-SP,665,487,48,23.3,4,7.6,73.23
2026-07-17,HUB-RJ,750,648,10,31.4,7,11.7,86.4
2026-07-17,HUB-BH,819,904,276,41.9,6,14.0,110.38
2026-07-17,HUB-PR,888,891,43,27.2,10,5.0,100.34
2026-07-17,HUB-GO,1092,959,71,28.4,8,10.3,87.82
2026-07-18,HUB-SP,716,649,13,32.8,11,7.7,90.64
2026-07-18,HUB-RJ,1033,1099,136,26.4,11,10.5,106.39
2026-07-18,HUB-BH,862,858,256,51.5,7,13.1,99.54
2026-07-18,HUB-PR,663,606,37,18.6,7,6.5,91.4
2026-07-18,HUB-GO,962,894,67,21.5,6,5.8,92.93
2026-07-19,HUB-SP,664,512,84,34.2,8,8.9,77.11
2026-07-19,HUB-RJ,672,521,24,26.8,8,2.2,77.53
2026-07-19,HUB-BH,706,801,326,46.1,5,11.2,113.46
2026-07-19,HUB-PR,722,557,9,27.8,4,10.5,77.15
2026-07-19,HUB-GO,796,757,89,29.8,9,5.4,95.1
2026-07-20,HUB-SP,1071,781,55,21.9,10,2.9,72.92
2026-07-20,HUB-RJ,786,747,37,21.8,4,10.9,95.04
2026-07-20,HUB-BH,1083,1139,348,41.1,9,6.4,105.17
2026-07-20,HUB-PR,925,993,104,36.1,5,9.2,107.35
2026-07-20,HUB-GO,1093,1009,34,33.8,10,6.1,92.31
2026-07-21,HUB-SP,702,623,26,24.2,10,2.6,88.75
2026-07-21,HUB-RJ,869,787,25,25.0,6,6.5,90.56
2026-07-21,HUB-BH,861,967,252,46.2,6,6.3,112.31
2026-07-21,HUB-PR,1068,831,37,35.9,4,5.2,77.81
2026-07-21,HUB-GO,1075,788,38,18.2,4,9.2,73.3
2026-07-22,HUB-SP,1051,1132,169,36.8,10,11.8,107.71
2026-07-22,HUB-RJ,722,585,6,34.5,7,1.5,81.02
2026-07-22,HUB-BH,1090,1080,420,56.1,11,10.3,99.08
2026-07-22,HUB-PR,1009,1053,97,20.8,6,5.0,104.36
2026-07-22,HUB-GO,787,750,9,41.1,11,4.2,95.3
2026-07-23,HUB-SP,1054,728,44,24.1,12,7.5,69.07
2026-07-23,HUB-RJ,818,710,85,33.0,7,10.1,86.8
2026-07-23,HUB-BH,753,764,281,51.4,12,15.1,101.46
2026-07-23,HUB-PR,741,620,81,28.3,7,2.2,83.67
2026-07-23,HUB-GO,1093,1051,19,21.6,11,8.9,96.16
2026-07-24,HUB-SP,747,762,57,39.8,6,1.7,102.01
2026-07-24,HUB-RJ,1042,1024,83,32.9,12,7.6,98.27
2026-07-24,HUB-BH,658,751,194,41.0,7,16.2,114.13
2026-07-24,HUB-PR,851,639,42,29.7,5,10.6,75.09
2026-07-24,HUB-GO,696,629,86,19.9,7,5.5,90.37
2026-07-25,HUB-SP,697,670,77,20.0,5,5.3,96.13
2026-07-25,HUB-RJ,721,519,65,33.7,12,2.0,71.98
2026-07-25,HUB-BH,781,827,292,44.0,11,6.1,105.89
2026-07-25,HUB-PR,903,737,83,33.4,10,7.2,81.62
2026-07-25,HUB-GO,752,587,82,22.1,9,11.4,78.06
2026-07-26,HUB-SP,839,683,79,36.6,5,9.1,81.41
2026-07-26,HUB-RJ,692,548,39,34.3,5,6.2,79.19
2026-07-26,HUB-BH,986,1070,176,30.0,8,12.6,108.52
2026-07-26,HUB-PR,1090,1008,34,33.8,5,5.6,92.48
2026-07-26,HUB-GO,1022,919,0,25.5,9,1.6,89.92
2026-07-27,HUB-SP,1030,1044,14,22.8,10,7.3,101.36
2026-07-27,HUB-RJ,933,783,27,34.8,11,1.3,83.92
2026-07-27,HUB-BH,678,700,319,48.1,10,13.5,103.24
2026-07-27,HUB-PR,679,626,58,19.7,10,5.9,92.19
2026-07-27,HUB-GO,775,722,50,36.3,8,3.9,93.16
2026-07-28,HUB-SP,828,833,68,36.4,4,10.8,100.6
2026-07-28,HUB-RJ,996,710,8,41.2,10,7.3,71.29
2026-07-28,HUB-BH,1037,1098,281,37.2,5,7.9,105.88
2026-07-28,HUB-PR,1086,1141,99,29.5,10,10.8,105.06
2026-07-28,HUB-GO,881,887,27,18.3,6,7.9,100.68
2026-07-29,HUB-SP,836,753,76,23.1,5,8.4,90.07
2026-07-29,HUB-RJ,983,890,78,36.8,11,8.3,90.54
2026-07-29,HUB-BH,734,795,262,46.5,9,13.8,108.31
2026-07-29,HUB-PR,971,932,11,33.5,9,4.9,95.98
2026-07-29,HUB-GO,804,626,55,38.6,12,7.2,77.86
2026-07-30,HUB-SP,1011,985,36,30.7,7,1.6,97.43
2026-07-30,HUB-RJ,1089,755,30,22.9,9,7.6,69.33
2026-07-30,HUB-BH,1078,1147,313,41.0,6,15.2,106.4
2026-07-30,HUB-PR,992,854,52,36.5,5,4.1,86.09
2026-07-30,HUB-GO,900,883,24,22.3,8,7.2,98.11
2026-07-31,HUB-SP,730,702,85,25.2,8,4.1,96.16
2026-07-31,HUB-RJ,969,869,61,23.9,8,4.8,89.68
2026-07-31,HUB-BH,741,743,324,49.7,8,11.9,100.27
2026-07-31,HUB-PR,666,609,16,41.4,7,1.3,91.44
2026-07-31,HUB-GO,1044,824,16,41.4,5,3.6,78.93
