shipment_id,created_at,origin_hub,destination_region,route_id,carrier,service_level,customer_segment,weight_kg,distance_km,promised_at,delivered_at,delay_hours,delivery_status,freight_revenue,operational_cost,contribution_margin,margin_pct
SHP-00017,2026-06-20 04:00:00,HUB-SP,Sul,R-SP-RJ,Atlas Express,D+2,B2C,17.5,1233.3,2026-06-22 10:00:00,2026-06-22 02:00:00.000000000,-8.0,No prazo,117.78,93.22,24.56,20.85
SHP-00018,2026-07-10 19:00:00,HUB-RJ,Sul,R-BH-GO,ViaCargo,D+2,B2C,19.44,517.7,2026-07-13 01:00:00,2026-07-13 01:23:24.932115877,0.39,Atraso leve,103.22,59.76,43.46,42.1
SHP-00019,2026-07-30 17:00:00,HUB-BH,Sudeste,R-PR-CO,RotaSul,D+1,B2C,23.82,1428.3,2026-07-31 23:00:00,2026-08-01 08:55:15.019207951,9.92,Atraso crítico,156.53,122.54,33.99,21.71
SHP-00020,2026-06-27 08:00:00,HUB-PR,Sul,R-SP-PR,RotaSul,D+2,B2C,2.45,1198.7,2026-06-29 14:00:00,2026-06-29 06:00:00.000000000,-8.0,No prazo,91.14,72.78,18.36,20.14
SHP-00021,2026-06-05 07:00:00,HUB-PR,Sudeste,R-RJ-NE,RotaSul,D+1,B2C,21.01,326.3,2026-06-06 13:00:00,2026-06-06 11:14:54.794019350,-1.75,No prazo,79.63,59.27,20.36,25.57
SHP-00022,2026-07-07 05:00:00,HUB-SP,Sudeste,R-PR-CO,Atlas Express,D+1,B2C,3.34,1089.1,2026-07-08 11:00:00,2026-07-08 05:12:39.339242511,-5.79,No prazo,83.29,54.32,28.97,34.78
SHP-00023,2026-06-26 06:00:00,HUB-SP,Centro-Oeste,R-SP-BH,Atlas Express,Econômico,B2C,3.32,211.1,2026-06-30 06:00:00,2026-06-30 04:51:03.391742673,-1.15,No prazo,55.11,33.9,21.21,38.49
SHP-00024,2026-07-15 14:00:00,HUB-GO,Centro-Oeste,R-SP-BH,RotaSul,D+2,B2C,22.21,54.4,2026-07-17 20:00:00,2026-07-17 12:02:25.826459639,-7.96,No prazo,73.07,50.83,22.24,30.44
SHP-00025,2026-07-16 04:00:00,HUB-SP,Centro-Oeste,R-SP-PR,Atlas Express,Econômico,SMB,19.34,755.8,2026-07-20 04:00:00,2026-07-21 12:15:52.859506868,32.26,Atraso crítico,111.94,59.85,52.09,46.53
SHP-00026,2026-07-27 05:00:00,HUB-BH,Nordeste,R-SP-PR,Nexo Log,D+1,B2C,20.85,970.9,2026-07-28 11:00:00,2026-07-30 04:43:00.074109996,41.72,Atraso crítico,117.33,78.37,38.96,33.21
SHP-00027,2026-07-03 02:00:00,HUB-GO,Centro-Oeste,R-SP-BH,ViaCargo,D+1,B2C,2.71,120.5,2026-07-04 08:00:00,2026-07-05 01:21:29.803678741,17.36,Atraso crítico,40.63,21.52,19.11,47.03
SHP-00028,2026-07-20 05:00:00,HUB-GO,Centro-Oeste,R-PR-CO,Atlas Express,D+1,B2C,6.98,258.5,2026-07-21 11:00:00,2026-07-21 10:24:09.045323710,-0.6,No prazo,44.36,21.61,22.75,51.28
SHP-00029,2026-07-21 02:00:00,HUB-BH,Centro-Oeste,R-SP-RJ,ViaCargo,D+2,B2C,7.77,814.7,2026-07-23 08:00:00,2026-07-23 18:27:48.356823690,10.46,Atraso crítico,95.44,73.43,22.01,23.06
SHP-00030,2026-06-24 20:00:00,HUB-BH,Nordeste,R-BH-GO,RotaSul,D+1,B2C,1.37,607.2,2026-06-26 02:00:00,2026-06-26 14:31:13.031680079,12.52,Atraso crítico,63.1,32.47,30.63,48.54
SHP-00031,2026-06-25 11:00:00,HUB-GO,Nordeste,R-PR-CO,ViaCargo,Same Day,B2C,23.51,1286.2,2026-06-25 23:00:00,2026-06-25 22:10:13.653579965,-0.83,No prazo,148.9,104.0,44.9,30.15
SHP-00032,2026-07-25 09:00:00,HUB-BH,Nordeste,R-SP-BH,ViaCargo,D+2,B2C,11.21,625.4,2026-07-27 15:00:00,2026-07-27 22:13:53.549430045,7.23,Atraso leve,85.69,48.9,36.79,42.93
SHP-00033,2026-07-07 12:00:00,HUB-BH,Sul,R-SP-BH,Nexo Log,D+1,B2C,9.23,1101.9,2026-07-08 18:00:00,2026-07-09 01:02:38.029840401,7.04,Atraso leve,99.57,79.91,19.66,19.74
SHP-00034,2026-06-20 21:00:00,HUB-BH,Nordeste,R-SP-PR,ViaCargo,D+1,SMB,15.73,1290.0,2026-06-22 03:00:00,2026-06-21 22:31:23.468125072,-4.48,No prazo,128.16,89.09,39.07,30.49
SHP-00035,2026-06-03 08:00:00,HUB-BH,Nordeste,R-SP-BH,ViaCargo,D+2,B2C,14.82,165.7,2026-06-05 14:00:00,2026-06-05 06:00:00.000000000,-8.0,No prazo,69.42,35.32,34.1,49.12
SHP-00036,2026-06-09 04:00:00,HUB-GO,Sul,R-SP-BH,Nexo Log,Econômico,B2C,18.83,1275.3,2026-06-13 04:00:00,2026-06-12 20:00:00.000000000,-8.0,No prazo,143.56,81.28,62.28,43.38
SHP-00037,2026-07-02 11:00:00,HUB-SP,Centro-Oeste,R-BH-GO,Atlas Express,D+1,B2C,11.29,843.4,2026-07-03 17:00:00,2026-07-04 09:20:45.193685499,16.35,Atraso crítico,100.94,75.88,25.06,24.83
SHP-00038,2026-07-05 14:00:00,HUB-SP,Nordeste,R-PR-CO,Atlas Express,Econômico,B2C,2.29,1057.7,2026-07-09 14:00:00,2026-07-09 23:07:25.943554905,9.12,Atraso crítico,86.99,64.65,22.34,25.68
SHP-00039,2026-07-15 13:00:00,HUB-PR,Sul,R-PR-CO,ViaCargo,D+2,B2C,7.68,264.8,2026-07-17 19:00:00,2026-07-17 11:16:23.430943900,-7.73,No prazo,46.86,37.41,9.45,20.17
SHP-00040,2026-06-23 02:00:00,HUB-BH,Nordeste,R-SP-BH,ViaCargo,D+2,Enterprise,18.77,774.8,2026-06-25 08:00:00,2026-06-25 17:30:40.125035155,9.51,Atraso crítico,101.69,82.92,18.77,18.46
SHP-00041,2026-06-26 16:00:00,HUB-GO,Centro-Oeste,R-SP-RJ,Atlas Express,Econômico,B2C,14.2,1102.5,2026-06-30 16:00:00,2026-06-30 08:00:00.000000000,-8.0,No prazo,101.92,64.67,37.25,36.55
SHP-00042,2026-06-08 13:00:00,HUB-BH,Sudeste,R-SP-BH,RotaSul,D+2,B2C,22.06,1253.4,2026-06-10 19:00:00,2026-06-10 21:17:21.056166648,2.29,Atraso leve,127.61,104.51,23.1,18.1
SHP-00043,2026-07-17 22:00:00,HUB-PR,Nordeste,R-PR-CO,Atlas Express,Same Day,B2C,15.67,158.3,2026-07-18 10:00:00,2026-07-18 05:27:28.586283016,-4.54,No prazo,74.91,36.7,38.21,51.01
SHP-00044,2026-07-11 04:00:00,HUB-SP,Sudeste,R-RJ-NE,ViaCargo,D+2,SMB,15.82,72.3,2026-07-13 10:00:00,2026-07-13 02:00:00.000000000,-8.0,No prazo,48.17,23.97,24.2,50.24
SHP-00045,2026-07-29 00:00:00,HUB-RJ,Sudeste,R-SP-BH,Nexo Log,Econômico,B2C,22.28,1238.8,2026-08-02 00:00:00,2026-08-02 05:18:07.458124375,5.3,Atraso leve,141.92,108.56,33.36,23.51
SHP-00046,2026-07-19 07:00:00,HUB-PR,Sudeste,R-BH-GO,ViaCargo,D+2,Enterprise,3.89,1179.4,2026-07-21 13:00:00,2026-07-21 22:01:56.154627866,9.03,Atraso crítico,91.09,52.11,38.98,42.79
SHP-00047,2026-07-16 05:00:00,HUB-SP,Centro-Oeste,R-BH-GO,Atlas Express,Same Day,Enterprise,21.24,1139.7,2026-07-16 17:00:00,2026-07-16 13:59:41.632276697,-3.01,No prazo,121.37,62.04,59.33,48.88
SHP-00048,2026-06-03 18:00:00,HUB-PR,Sul,R-BH-GO,Nexo Log,D+2,B2C,13.82,245.0,2026-06-06 00:00:00,2026-06-05 16:00:00.000000000,-8.0,No prazo,77.39,45.08,32.31,41.75
SHP-00049,2026-06-16 16:00:00,HUB-SP,Sudeste,R-BH-GO,RotaSul,Econômico,B2C,9.82,766.6,2026-06-20 16:00:00,2026-06-20 19:14:30.175223473,3.24,Atraso leve,77.79,40.89,36.9,47.44
SHP-00050,2026-07-01 18:00:00,HUB-PR,Sul,R-RJ-NE,Nexo Log,D+1,B2C,10.0,662.9,2026-07-03 00:00:00,2026-07-02 16:00:00.000000000,-8.0,No prazo,74.9,50.94,23.96,31.99
SHP-00051,2026-06-19 04:00:00,HUB-SP,Sudeste,R-SP-PR,Atlas Express,D+2,SMB,13.67,1127.7,2026-06-21 10:00:00,2026-06-21 17:22:21.144190002,7.37,Atraso leve,118.18,82.95,35.23,29.81
SHP-00052,2026-07-05 14:00:00,HUB-BH,Centro-Oeste,R-SP-BH,Nexo Log,D+2,B2C,8.78,827.7,2026-07-07 20:00:00,2026-07-08 03:01:37.177888685,7.03,Atraso leve,94.63,73.94,20.69,21.86
SHP-00053,2026-07-15 06:00:00,HUB-RJ,Sul,R-BH-GO,Nexo Log,D+2,B2C,11.96,198.6,2026-07-17 12:00:00,2026-07-17 17:05:55.617594486,5.1,Atraso leve,49.45,37.89,11.56,23.38
SHP-00054,2026-07-21 11:00:00,HUB-SP,Centro-Oeste,R-SP-PR,RotaSul,D+1,B2C,17.88,38.3,2026-07-22 17:00:00,2026-07-23 17:13:31.226358626,24.23,Atraso crítico,70.75,60.02,10.73,15.17
SHP-00055,2026-07-11 08:00:00,HUB-BH,Nordeste,R-SP-RJ,Atlas Express,D+1,B2C,18.58,507.9,2026-07-12 14:00:00,2026-07-12 13:07:26.723048597,-0.88,No prazo,94.42,67.97,26.45,28.01
SHP-00056,2026-07-30 23:00:00,HUB-RJ,Nordeste,R-RJ-NE,Nexo Log,Same Day,SMB,4.1,278.0,2026-07-31 11:00:00,2026-07-31 04:04:07.155563295,-6.93,No prazo,57.98,47.33,10.65,18.37
SHP-00057,2026-07-19 08:00:00,HUB-BH,Sul,R-PR-CO,ViaCargo,D+1,Enterprise,2.11,1212.2,2026-07-20 14:00:00,2026-07-20 18:21:11.996011120,4.35,Atraso leve,95.52,61.09,34.43,36.04
SHP-00058,2026-06-24 19:00:00,HUB-RJ,Sudeste,R-BH-GO,RotaSul,Same Day,SMB,11.87,944.5,2026-06-25 07:00:00,2026-06-24 23:00:00.000000000,-8.0,No prazo,100.83,51.28,49.55,49.14
SHP-00059,2026-07-22 11:00:00,HUB-BH,Centro-Oeste,R-BH-GO,ViaCargo,D+2,SMB,1.58,596.1,2026-07-24 17:00:00,2026-07-25 07:05:27.839489200,14.09,Atraso crítico,63.28,37.66,25.62,40.49
SHP-00060,2026-07-17 00:00:00,HUB-BH,Sul,R-SP-PR,ViaCargo,Econômico,Enterprise,14.17,1362.7,2026-07-21 00:00:00,2026-07-21 14:37:52.686233863,14.63,Atraso crítico,124.39,88.89,35.5,28.54
SHP-00061,2026-07-08 23:00:00,HUB-SP,Sul,R-BH-GO,RotaSul,D+1,B2C,0.79,1485.0,2026-07-10 05:00:00,2026-07-09 21:00:00.000000000,-8.0,No prazo,108.38,63.36,45.02,41.54
SHP-00062,2026-06-12 17:00:00,HUB-PR,Centro-Oeste,R-SP-BH,Nexo Log,D+1,SMB,23.57,998.3,2026-06-13 23:00:00,2026-06-14 04:04:15.920545985,5.07,Atraso leve,125.62,92.82,32.8,26.11
SHP-00063,2026-06-18 08:00:00,HUB-BH,Nordeste,R-PR-CO,Atlas Express,D+2,Enterprise,17.63,712.5,2026-06-20 14:00:00,2026-06-21 06:18:00.163211387,16.3,Atraso crítico,100.52,70.6,29.92,29.77
SHP-00064,2026-06-08 02:00:00,HUB-PR,Nordeste,R-RJ-NE,Nexo Log,D+1,Enterprise,8.45,211.3,2026-06-09 08:00:00,2026-06-09 05:06:52.935423485,-2.89,No prazo,42.7,31.78,10.92,25.57
SHP-00065,2026-07-22 20:00:00,HUB-RJ,Sul,R-SP-PR,Atlas Express,Econômico,B2C,2.22,895.4,2026-07-26 20:00:00,2026-07-27 13:11:02.142678655,17.18,Atraso crítico,87.51,76.47,11.04,12.62
SHP-00066,2026-07-18 20:00:00,HUB-SP,Nordeste,R-SP-PR,Nexo Log,Same Day,B2C,17.18,1241.3,2026-07-19 08:00:00,2026-07-20 00:54:35.543397123,16.91,Atraso crítico,136.54,109.86,26.68,19.54
SHP-00067,2026-06-07 08:00:00,HUB-BH,Sudeste,R-BH-GO,ViaCargo,Econômico,B2C,16.32,61.9,2026-06-11 08:00:00,2026-06-11 22:03:49.621529628,14.06,Atraso crítico,58.45,45.85,12.6,21.56
SHP-00068,2026-07-02 03:00:00,HUB-RJ,Nordeste,R-BH-GO,ViaCargo,Econômico,B2C,7.31,950.7,2026-07-06 03:00:00,2026-07-06 03:05:26.467550878,0.09,Atraso leve,90.11,51.67,38.44,42.66
SHP-00069,2026-07-12 00:00:00,HUB-BH,Centro-Oeste,R-SP-RJ,RotaSul,D+1,Enterprise,23.97,484.7,2026-07-13 06:00:00,2026-07-13 13:20:14.319249781,7.34,Atraso leve,96.4,50.76,45.64,47.34
SHP-00070,2026-07-19 16:00:00,HUB-BH,Sudeste,R-RJ-NE,RotaSul,D+2,B2C,21.98,802.6,2026-07-21 22:00:00,2026-07-21 20:01:11.245356797,-1.98,No prazo,103.27,62.4,40.87,39.58
SHP-00071,2026-06-19 08:00:00,HUB-GO,Sul,R-SP-PR,RotaSul,D+2,B2C,23.03,1206.9,2026-06-21 14:00:00,2026-06-21 15:03:56.556262202,1.07,Atraso leve,137.65,79.39,58.26,42.32
SHP-00072,2026-06-26 11:00:00,HUB-GO,Sul,R-PR-CO,Nexo Log,D+1,B2C,17.87,951.3,2026-06-27 17:00:00,2026-06-27 09:00:00.000000000,-8.0,No prazo,116.61,67.84,48.77,41.82
SHP-00073,2026-06-11 21:00:00,HUB-SP,Sul,R-SP-RJ,Atlas Express,Econômico,B2C,19.05,1257.4,2026-06-15 21:00:00,2026-06-16 10:03:55.890277512,13.07,Atraso crítico,130.31,83.65,46.66,35.81
SHP-00074,2026-07-04 22:00:00,HUB-GO,Sul,R-RJ-NE,ViaCargo,Econômico,B2C,4.61,906.0,2026-07-08 22:00:00,2026-07-08 19:58:37.331219504,-2.02,No prazo,75.13,52.74,22.39,29.8
SHP-00075,2026-07-27 07:00:00,HUB-GO,Nordeste,R-SP-PR,Nexo Log,Same Day,B2C,1.18,405.0,2026-07-27 19:00:00,2026-07-28 07:21:57.734624630,12.37,Atraso crítico,40.15,28.03,12.12,30.19
SHP-00076,2026-06-07 10:00:00,HUB-RJ,Nordeste,R-BH-GO,Atlas Express,Same Day,B2C,16.82,343.1,2026-06-07 22:00:00,2026-06-08 05:37:38.503978986,7.63,Atraso leve,72.38,44.44,27.94,38.6
SHP-00077,2026-06-18 15:00:00,HUB-SP,Sudeste,R-SP-RJ,Atlas Express,Econômico,B2C,11.85,543.0,2026-06-22 15:00:00,2026-06-22 07:35:58.118874627,-7.4,No prazo,77.16,57.52,19.64,25.45
SHP-00078,2026-07-01 17:00:00,HUB-RJ,Nordeste,R-BH-GO,RotaSul,D+1,B2C,16.46,376.8,2026-07-02 23:00:00,2026-07-02 15:00:00.000000000,-8.0,No prazo,74.27,59.14,15.13,20.37
SHP-00079,2026-07-23 02:00:00,HUB-PR,Sudeste,R-RJ-NE,RotaSul,D+1,B2C,22.07,29.7,2026-07-24 08:00:00,2026-07-24 00:00:00.000000000,-8.0,No prazo,62.27,30.55,31.72,50.94
SHP-00080,2026-06-09 13:00:00,HUB-BH,Sudeste,R-SP-RJ,Nexo Log,D+1,SMB,20.42,22.5,2026-06-10 19:00:00,2026-06-11 11:24:11.212711670,16.4,Atraso crítico,75.36,52.04,23.32,30.94
SHP-00081,2026-06-18 17:00:00,HUB-BH,Sul,R-SP-BH,ViaCargo,Econômico,B2C,23.63,588.0,2026-06-22 17:00:00,2026-06-23 00:33:23.895667732,7.56,Atraso leve,111.58,65.64,45.94,41.17
SHP-00082,2026-07-07 10:00:00,HUB-BH,Centro-Oeste,R-BH-GO,RotaSul,D+1,SMB,2.06,62.3,2026-07-08 16:00:00,2026-07-08 12:47:39.380533289,-3.21,No prazo,30.0,14.59,15.41,51.37
SHP-00083,2026-07-21 23:00:00,HUB-GO,Sul,R-RJ-NE,Atlas Express,D+2,B2C,14.33,214.8,2026-07-24 05:00:00,2026-07-24 10:22:22.518265762,5.37,Atraso leve,56.64,40.53,16.11,28.44
SHP-00084,2026-07-24 15:00:00,HUB-SP,Nordeste,R-SP-BH,Atlas Express,Econômico,B2C,23.84,941.7,2026-07-28 15:00:00,2026-07-28 17:11:52.481050576,2.2,Atraso leve,114.25,89.7,24.55,21.49
SHP-00085,2026-06-11 04:00:00,HUB-PR,Sudeste,R-BH-GO,RotaSul,D+1,B2C,7.22,1066.8,2026-06-12 10:00:00,2026-06-12 20:45:40.724903157,10.76,Atraso crítico,107.29,52.16,55.13,51.38
SHP-00086,2026-07-06 22:00:00,HUB-RJ,Centro-Oeste,R-PR-CO,Nexo Log,Econômico,SMB,13.37,642.9,2026-07-10 22:00:00,2026-07-11 09:41:59.340671083,11.7,Atraso crítico,91.71,66.65,25.06,27.33
SHP-00087,2026-07-14 07:00:00,HUB-GO,Centro-Oeste,R-PR-CO,ViaCargo,D+1,B2C,19.15,839.6,2026-07-15 13:00:00,2026-07-15 17:36:11.071831431,4.6,Atraso leve,106.75,54.66,52.09,48.8
SHP-00088,2026-06-01 23:00:00,HUB-SP,Sul,R-SP-PR,ViaCargo,D+2,B2C,4.45,331.3,2026-06-04 05:00:00,2026-06-03 21:00:00.000000000,-8.0,No prazo,62.14,49.11,13.03,20.97
SHP-00089,2026-07-24 01:00:00,HUB-PR,Sul,R-RJ-NE,RotaSul,Econômico,Enterprise,17.85,1173.9,2026-07-28 01:00:00,2026-07-27 17:00:00.000000000,-8.0,No prazo,132.06,88.98,43.08,32.62
SHP-00090,2026-07-02 06:00:00,HUB-PR,Centro-Oeste,R-PR-CO,Atlas Express,Econômico,B2C,5.06,1193.6,2026-07-06 06:00:00,2026-07-06 08:07:12.677854301,2.12,Atraso leve,89.85,73.04,16.81,18.71
SHP-00091,2026-07-27 03:00:00,HUB-PR,Sul,R-PR-CO,RotaSul,D+1,B2C,14.03,663.5,2026-07-28 09:00:00,2026-07-28 06:23:32.094074001,-2.61,No prazo,92.19,73.57,18.62,20.2
SHP-00092,2026-07-07 18:00:00,HUB-RJ,Nordeste,R-SP-PR,Atlas Express,D+1,SMB,4.08,1100.0,2026-07-09 00:00:00,2026-07-09 02:20:48.365854781,2.35,Atraso leve,90.73,80.31,10.42,11.48
SHP-00093,2026-07-06 07:00:00,HUB-BH,Sudeste,R-PR-CO,ViaCargo,D+1,Enterprise,12.62,757.4,2026-07-07 13:00:00,2026-07-07 05:43:44.268432198,-7.27,No prazo,86.13,42.67,43.46,50.46
SHP-00094,2026-06-12 09:00:00,HUB-BH,Nordeste,R-RJ-NE,Atlas Express,D+2,Enterprise,6.21,482.2,2026-06-14 15:00:00,2026-06-14 18:49:48.138800129,3.83,Atraso leve,71.44,55.58,15.86,22.2
SHP-00095,2026-07-08 02:00:00,HUB-BH,Sudeste,R-PR-CO,RotaSul,Econômico,B2C,7.45,891.3,2026-07-12 02:00:00,2026-07-11 20:18:09.610181410,-5.7,No prazo,79.6,61.1,18.5,23.24
SHP-00096,2026-06-09 12:00:00,HUB-RJ,Sul,R-SP-RJ,Atlas Express,D+1,B2C,20.48,941.0,2026-06-10 18:00:00,2026-06-10 10:00:00.000000000,-8.0,No prazo,123.04,71.44,51.6,41.94
SHP-00097,2026-06-07 21:00:00,HUB-SP,Sudeste,R-RJ-NE,Nexo Log,D+2,B2C,3.07,1435.4,2026-06-10 03:00:00,2026-06-09 23:43:45.198653686,-3.27,No prazo,101.29,57.73,43.56,43.01
SHP-00098,2026-07-27 17:00:00,HUB-RJ,Nordeste,R-SP-BH,Nexo Log,D+1,B2C,20.46,1401.2,2026-07-28 23:00:00,2026-07-29 13:04:15.090271576,14.07,Atraso crítico,138.43,91.43,47.0,33.95
SHP-00099,2026-06-19 00:00:00,HUB-SP,Nordeste,R-SP-RJ,Atlas Express,Econômico,B2C,12.52,792.6,2026-06-23 00:00:00,2026-06-22 23:42:34.473710455,-0.29,No prazo,94.63,62.68,31.95,33.76
SHP-00100,2026-07-17 21:00:00,HUB-GO,Sudeste,R-SP-BH,RotaSul,D+1,B2C,22.89,274.3,2026-07-19 03:00:00,2026-07-19 04:00:32.793545733,1.01,Atraso leve,86.43,47.59,38.84,44.94
SHP-00101,2026-06-24 01:00:00,HUB-SP,Sul,R-SP-RJ,ViaCargo,Econômico,SMB,11.27,649.7,2026-06-28 01:00:00,2026-06-27 17:00:00.000000000,-8.0,No prazo,84.44,45.91,38.53,45.63
SHP-00102,2026-07-07 17:00:00,HUB-BH,Nordeste,R-SP-PR,Atlas Express,D+2,SMB,22.11,556.1,2026-07-09 23:00:00,2026-07-10 13:09:41.944484450,14.16,Atraso crítico,87.85,57.64,30.21,34.39
SHP-00103,2026-07-09 11:00:00,HUB-RJ,Nordeste,R-RJ-NE,Nexo Log,D+1,B2C,15.41,18.7,2026-07-10 17:00:00,2026-07-10 12:07:12.976154484,-4.88,No prazo,69.14,39.79,29.35,42.45
SHP-00104,2026-06-27 12:00:00,HUB-SP,Nordeste,R-SP-PR,Nexo Log,D+1,B2C,9.55,1476.1,2026-06-28 18:00:00,2026-06-29 05:44:31.606579041,11.74,Atraso crítico,121.31,88.18,33.13,27.31
SHP-00105,2026-07-10 17:00:00,HUB-PR,Nordeste,R-BH-GO,Nexo Log,D+2,SMB,4.42,1089.8,2026-07-12 23:00:00,2026-07-12 15:00:00.000000000,-8.0,No prazo,103.48,51.09,52.39,50.63
SHP-00106,2026-06-21 19:00:00,HUB-GO,Sul,R-SP-BH,Nexo Log,D+2,B2C,15.91,494.4,2026-06-24 01:00:00,2026-06-24 14:37:59.775036791,13.63,Atraso crítico,95.11,57.5,37.61,39.54
SHP-00107,2026-07-24 21:00:00,HUB-BH,Centro-Oeste,R-BH-GO,Nexo Log,D+2,B2C,10.18,1040.6,2026-07-27 03:00:00,2026-07-27 15:45:47.748897815,12.76,Atraso crítico,99.13,61.34,37.79,38.12
SHP-00108,2026-07-25 16:00:00,HUB-PR,Centro-Oeste,R-SP-RJ,Nexo Log,D+2,B2C,0.67,532.6,2026-07-27 22:00:00,2026-07-27 14:00:00.000000000,-8.0,No prazo,49.51,36.86,12.65,25.55
SHP-00109,2026-07-26 01:00:00,HUB-GO,Sul,R-RJ-NE,ViaCargo,D+1,B2C,6.95,1084.5,2026-07-27 07:00:00,2026-07-27 14:20:42.763243272,7.35,Atraso leve,109.6,60.16,49.44,45.11
SHP-00110,2026-06-09 13:00:00,HUB-PR,Centro-Oeste,R-BH-GO,RotaSul,Econômico,B2C,15.09,523.0,2026-06-13 13:00:00,2026-06-13 10:17:48.301092341,-2.7,No prazo,95.83,59.02,36.81,38.41
SHP-00111,2026-07-03 14:00:00,HUB-GO,Centro-Oeste,R-SP-PR,RotaSul,Econômico,B2C,22.48,1368.6,2026-07-07 14:00:00,2026-07-07 22:05:13.549590036,8.09,Atraso crítico,140.03,93.14,46.89,33.49
SHP-00112,2026-06-27 21:00:00,HUB-RJ,Sul,R-RJ-NE,ViaCargo,D+1,SMB,22.19,1351.7,2026-06-29 03:00:00,2026-06-29 02:57:48.177864182,-0.04,No prazo,154.95,113.63,41.32,26.67
SHP-00113,2026-06-07 13:00:00,HUB-PR,Sudeste,R-SP-PR,Nexo Log,D+2,SMB,7.09,423.6,2026-06-09 19:00:00,2026-06-10 20:13:51.440822013,25.23,Atraso crítico,65.41,40.52,24.89,38.05
