ticket_id,shipment_id,created_at,region,topic,priority,first_response_hours,resolution_hours,first_response_sla_hours,sla_status,csat
TKT-00039,SHP-00190,2026-07-30 23:11:19.509207023,Centro-Oeste,Avaria,Média,18.57,11.17,8,Fora,2
TKT-00040,SHP-00743,2026-06-22 09:12:12.746694736,Nordeste,Onde está meu pedido?,Baixa,5.95,20.93,16,Dentro,3
TKT-00041,SHP-00051,2026-06-21 05:03:28.905598439,Sudeste,Onde está meu pedido?,Média,0.92,33.41,8,Dentro,5
TKT-00042,SHP-00307,2026-06-20 12:37:45.058057203,Centro-Oeste,Reentrega,Média,3.74,37.4,8,Dentro,4
TKT-00043,SHP-00671,2026-07-26 15:35:09.578432163,Sudeste,Reembolso,Média,7.5,31.67,8,Dentro,4
TKT-00044,SHP-00859,2026-07-17 08:05:21.561188899,Sudeste,Reentrega,Alta,4.44,20.35,4,Fora,3
TKT-00045,SHP-00287,2026-07-12 16:08:00.930545175,Sul,Endereço,Baixa,9.78,19.48,16,Dentro,5
TKT-00046,SHP-00660,2026-06-11 18:06:15.874555920,Centro-Oeste,Atraso,Média,0.2,25.01,8,Dentro,4
TKT-00047,SHP-00045,2026-08-01 23:50:04.442847006,Sudeste,Endereço,Baixa,10.68,43.28,16,Dentro,5
TKT-00048,SHP-00198,2026-07-20 09:00:38.839052816,Sudeste,Avaria,Baixa,4.37,7.08,16,Dentro,4
TKT-00049,SHP-00829,2026-06-03 20:37:59.899920569,Centro-Oeste,Reentrega,Média,7.15,26.87,8,Dentro,3
TKT-00050,SHP-00693,2026-07-04 06:16:36.930743044,Sul,Avaria,Média,12.54,44.09,8,Fora,3
TKT-00051,SHP-00186,2026-07-14 14:03:59.196306003,Nordeste,Onde está meu pedido?,Média,6.98,21.28,8,Dentro,3
TKT-00052,SHP-00509,2026-06-19 10:25:35.786491765,Sudeste,Onde está meu pedido?,Média,3.62,30.0,8,Dentro,5
TKT-00053,SHP-00629,2026-07-28 16:45:00.569588788,Sudeste,Avaria,Média,10.4,47.85,8,Fora,3
TKT-00054,SHP-00652,2026-06-17 14:39:44.356137015,Sudeste,Reentrega,Baixa,4.99,51.06,16,Dentro,5
TKT-00055,SHP-00687,2026-07-15 13:37:38.512376181,Nordeste,Reembolso,Média,8.21,41.69,8,Fora,4
TKT-00056,SHP-00361,2026-06-27 12:31:37.190887103,Centro-Oeste,Endereço,Baixa,13.37,9.51,16,Dentro,5
TKT-00057,SHP-00707,2026-06-30 21:57:54.095359486,Sul,Onde está meu pedido?,Média,9.1,39.69,8,Fora,3
TKT-00058,SHP-00884,2026-07-23 09:19:01.446637119,Centro-Oeste,Atraso,Média,2.84,27.43,8,Dentro,4
TKT-00059,SHP-00370,2026-06-06 17:35:44.570593633,Centro-Oeste,Onde está meu pedido?,Alta,8.49,10.99,4,Fora,2
TKT-00060,SHP-00220,2026-06-14 13:58:14.916559730,Centro-Oeste,Endereço,Média,8.78,37.79,8,Fora,2
TKT-00061,SHP-00201,2026-07-06 11:30:33.803325791,Nordeste,Atraso,Alta,0.2,8.85,4,Dentro,5
TKT-00062,SHP-00121,2026-06-20 00:06:40.595010248,Nordeste,Atraso,Média,9.52,57.84,8,Fora,4
TKT-00063,SHP-00760,2026-06-11 14:22:04.921084159,Nordeste,Atraso,Alta,0.48,24.76,4,Dentro,3
TKT-00064,SHP-00803,2026-07-13 21:18:13.700851312,Nordeste,Reentrega,Baixa,11.51,30.26,16,Dentro,4
TKT-00065,SHP-00313,2026-06-25 21:41:48.897386080,Sudeste,Reembolso,Média,8.87,19.59,8,Fora,2
TKT-00066,SHP-00221,2026-07-19 14:31:12.650758070,Sul,Onde está meu pedido?,Média,10.26,20.17,8,Fora,5
TKT-00067,SHP-00458,2026-07-22 14:43:29.092488683,Sul,Endereço,Média,8.04,34.67,8,Fora,1
TKT-00068,SHP-00516,2026-06-24 01:12:50.228574909,Sul,Avaria,Média,13.61,35.11,8,Fora,3
TKT-00069,SHP-00877,2026-07-29 09:55:48.170255020,Centro-Oeste,Avaria,Alta,4.03,10.66,4,Fora,3
TKT-00070,SHP-00197,2026-06-16 20:19:34.772489122,Sudeste,Reembolso,Baixa,3.8,13.39,16,Dentro,4
TKT-00071,SHP-00350,2026-07-30 20:21:02.423105974,Nordeste,Endereço,Média,7.82,43.81,8,Dentro,3
TKT-00072,SHP-00544,2026-07-09 07:25:00.445676412,Centro-Oeste,Reembolso,Média,3.39,27.26,8,Dentro,1
TKT-00073,SHP-00017,2026-06-22 17:33:05.720518082,Sul,Endereço,Média,2.09,25.04,8,Dentro,3
TKT-00074,SHP-00324,2026-06-08 20:49:13.822472135,Centro-Oeste,Atraso,Média,4.6,18.69,8,Dentro,4
TKT-00075,SHP-00425,2026-07-06 23:01:35.750829726,Nordeste,Avaria,Média,9.16,16.87,8,Fora,3
TKT-00076,SHP-00741,2026-06-25 13:15:17.713940647,Sudeste,Reentrega,Baixa,10.7,8.7,16,Dentro,5
TKT-00077,SHP-00713,2026-06-29 10:28:09.357559905,Centro-Oeste,Endereço,Média,13.02,36.89,8,Fora,2
TKT-00078,SHP-00101,2026-06-28 01:07:16.008847521,Sul,Reentrega,Média,9.25,16.93,8,Fora,3
TKT-00079,SHP-00470,2026-06-08 06:36:29.805145873,Sul,Avaria,Média,10.83,32.54,8,Fora,3
TKT-00080,SHP-00688,2026-06-17 17:38:17.603616282,Sul,Endereço,Média,17.97,32.37,8,Fora,4
TKT-00081,SHP-00615,2026-07-30 19:34:25.965135390,Nordeste,Atraso,Média,10.57,32.79,8,Fora,3
TKT-00082,SHP-00049,2026-06-20 13:40:04.648955441,Sudeste,Endereço,Alta,7.08,6.25,4,Fora,2
TKT-00083,SHP-00456,2026-06-11 12:24:27.716369732,Centro-Oeste,Reembolso,Baixa,3.65,23.87,16,Dentro,4
TKT-00084,SHP-00457,2026-06-20 09:10:33.866995859,Nordeste,Reentrega,Baixa,7.26,24.19,16,Dentro,1
TKT-00085,SHP-00425,2026-07-06 10:30:26.988682038,Nordeste,Onde está meu pedido?,Baixa,5.62,35.44,16,Dentro,4
TKT-00086,SHP-00382,2026-06-21 23:50:01.609259376,Sudeste,Avaria,Média,8.83,14.61,8,Fora,2
TKT-00087,SHP-00384,2026-07-25 09:51:53.632213343,Centro-Oeste,Reembolso,Baixa,7.46,24.98,16,Dentro,4
TKT-00088,SHP-00268,2026-06-22 14:17:45.869181217,Centro-Oeste,Endereço,Alta,5.61,29.32,4,Fora,2
TKT-00089,SHP-00343,2026-07-31 17:20:53.637826303,Centro-Oeste,Reentrega,Média,11.65,22.8,8,Fora,2
TKT-00090,SHP-00076,2026-06-08 10:57:42.808240757,Nordeste,Atraso,Média,14.06,28.16,8,Fora,2
TKT-00091,SHP-00178,2026-07-19 20:30:19.169511408,Centro-Oeste,Reembolso,Alta,4.95,21.97,4,Fora,1
TKT-00092,SHP-00564,2026-06-07 07:01:14.719364304,Nordeste,Endereço,Média,8.15,55.66,8,Fora,3
TKT-00093,SHP-00776,2026-06-05 06:39:34.976606215,Centro-Oeste,Avaria,Baixa,9.24,30.35,16,Dentro,5
TKT-00094,SHP-00516,2026-06-24 00:36:55.439867423,Sul,Avaria,Alta,3.82,28.57,4,Dentro,4
TKT-00095,SHP-00391,2026-07-13 11:05:52.487219682,Sudeste,Reentrega,Alta,8.33,24.89,4,Fora,3
TKT-00096,SHP-00582,2026-06-29 10:50:37.456084515,Sudeste,Atraso,Média,7.29,45.18,8,Dentro,4
TKT-00097,SHP-00573,2026-07-11 04:36:38.407565002,Nordeste,Reembolso,Média,10.19,20.58,8,Fora,4
TKT-00098,SHP-00782,2026-07-10 20:46:56.279792710,Nordeste,Reembolso,Média,9.02,27.86,8,Fora,2
TKT-00099,SHP-00048,2026-06-06 08:00:30.088953938,Sul,Reentrega,Média,9.77,29.27,8,Fora,3
TKT-00100,SHP-00077,2026-06-22 12:54:24.923071820,Sudeste,Onde está meu pedido?,Alta,5.27,10.09,4,Fora,3
TKT-00101,SHP-00367,2026-07-05 23:16:07.939829719,Centro-Oeste,Avaria,Baixa,12.02,26.35,16,Dentro,2
TKT-00102,SHP-00857,2026-06-10 14:30:23.207316800,Sul,Atraso,Média,6.55,43.58,8,Dentro,3
TKT-00103,SHP-00391,2026-07-13 08:41:41.320519740,Sudeste,Reentrega,Média,12.69,32.08,8,Fora,3
TKT-00104,SHP-00059,2026-07-25 03:33:28.251861169,Centro-Oeste,Atraso,Média,9.75,40.67,8,Fora,3
TKT-00105,SHP-00698,2026-06-06 00:50:47.709033619,Sul,Reentrega,Alta,1.96,3.25,4,Dentro,5
TKT-00106,SHP-00696,2026-07-09 16:21:11.522181531,Sudeste,Endereço,Alta,0.2,10.23,4,Dentro,3
TKT-00107,SHP-00480,2026-08-01 16:27:39.163524457,Centro-Oeste,Endereço,Baixa,1.85,36.28,16,Dentro,4
TKT-00108,SHP-00828,2026-06-02 17:04:12.638322202,Sudeste,Reentrega,Baixa,3.48,19.06,16,Dentro,4
TKT-00109,SHP-00467,2026-07-23 19:11:09.520994769,Nordeste,Reembolso,Baixa,7.36,25.47,16,Dentro,5
TKT-00110,SHP-00749,2026-07-25 17:09:33.633580552,Nordeste,Avaria,Alta,8.72,13.35,4,Fora,4
TKT-00111,SHP-00361,2026-06-27 11:16:28.176214316,Centro-Oeste,Reembolso,Média,6.48,40.89,8,Dentro,4
TKT-00112,SHP-00079,2026-07-24 12:20:50.310790302,Sudeste,Atraso,Média,7.17,12.12,8,Dentro,5
TKT-00113,SHP-00616,2026-06-22 05:31:03.950117960,Centro-Oeste,Atraso,Alta,2.78,8.9,4,Dentro,5
TKT-00114,SHP-00728,2026-06-16 17:28:00.718635082,Sul,Atraso,Média,4.33,6.23,8,Dentro,3
TKT-00115,SHP-00426,2026-07-29 01:59:16.221467193,Nordeste,Avaria,Alta,0.2,16.81,4,Dentro,5
TKT-00116,SHP-00713,2026-06-30 08:46:41.418442391,Centro-Oeste,Reentrega,Baixa,0.2,19.58,16,Dentro,3
TKT-00117,SHP-00692,2026-07-31 14:01:09.478041527,Centro-Oeste,Onde está meu pedido?,Baixa,7.67,28.4,16,Dentro,5
TKT-00118,SHP-00341,2026-07-27 06:40:04.448043974,Centro-Oeste,Reembolso,Média,2.02,22.07,8,Dentro,3
TKT-00119,SHP-00397,2026-07-02 20:41:30.089799992,Sul,Reembolso,Média,11.15,12.35,8,Fora,5
TKT-00120,SHP-00058,2026-06-26 00:45:30.255487735,Sudeste,Atraso,Média,5.7,21.24,8,Dentro,4
TKT-00121,SHP-00571,2026-07-25 19:08:48.403011542,Nordeste,Reentrega,Baixa,11.14,27.43,16,Dentro,4
TKT-00122,SHP-00279,2026-08-01 05:17:04.306444823,Centro-Oeste,Atraso,Alta,5.34,22.92,4,Fora,2
TKT-00123,SHP-00290,2026-07-13 17:23:45.707740207,Centro-Oeste,Atraso,Alta,2.42,0.5,4,Dentro,5
TKT-00124,SHP-00400,2026-06-11 02:44:55.807992926,Sul,Onde está meu pedido?,Baixa,11.62,33.92,16,Dentro,5
TKT-00125,SHP-00684,2026-07-12 17:48:56.243542974,Sul,Atraso,Média,6.97,8.58,8,Dentro,2
TKT-00126,SHP-00701,2026-07-02 21:18:56.694728665,Centro-Oeste,Endereço,Média,9.89,21.74,8,Fora,2
TKT-00127,SHP-00093,2026-07-08 05:46:21.724738415,Sudeste,Atraso,Alta,0.44,19.48,4,Dentro,5
TKT-00128,SHP-00517,2026-07-21 12:58:18.445002130,Centro-Oeste,Avaria,Média,11.58,21.28,8,Fora,2
TKT-00129,SHP-00748,2026-07-16 06:52:08.773364068,Centro-Oeste,Reembolso,Alta,0.2,12.01,4,Dentro,3
TKT-00130,SHP-00786,2026-06-25 02:38:00.837258111,Centro-Oeste,Endereço,Alta,0.33,27.95,4,Dentro,4
TKT-00131,SHP-00101,2026-06-28 13:20:33.612379560,Sul,Reembolso,Média,7.42,19.39,8,Dentro,4
TKT-00132,SHP-00367,2026-07-06 08:32:10.594964832,Centro-Oeste,Reembolso,Média,11.2,33.25,8,Fora,4
TKT-00133,SHP-00496,2026-07-24 06:56:24.855450935,Centro-Oeste,Reembolso,Média,11.66,36.05,8,Fora,4
TKT-00134,SHP-00159,2026-07-09 21:25:18.039764524,Sul,Avaria,Média,7.1,26.64,8,Dentro,5
TKT-00135,SHP-00508,2026-07-24 20:40:44.779580009,Sudeste,Endereço,Média,5.65,25.75,8,Dentro,3
TKT-00136,SHP-00899,2026-07-06 22:27:47.957146451,Sudeste,Endereço,Média,8.61,33.95,8,Fora,2
TKT-00137,SHP-00032,2026-07-27 17:40:14.108250830,Nordeste,Reentrega,Alta,3.96,32.63,4,Dentro,5
TKT-00138,SHP-00352,2026-07-02 10:39:48.702967577,Centro-Oeste,Endereço,Média,2.87,27.59,8,Dentro,3
TKT-00139,SHP-00737,2026-07-21 04:11:41.448983686,Sul,Avaria,Média,15.95,6.16,8,Fora,3
TKT-00140,SHP-00144,2026-08-02 03:28:28.338507794,Sul,Endereço,Média,10.17,39.42,8,Fora,4
TKT-00141,SHP-00420,2026-06-09 13:26:48.846834588,Sudeste,Reentrega,Média,5.32,36.43,8,Dentro,3
TKT-00142,SHP-00618,2026-06-06 00:58:44.281492335,Nordeste,Endereço,Alta,3.78,21.87,4,Dentro,4
TKT-00143,SHP-00387,2026-06-13 03:08:54.323243783,Sul,Reentrega,Alta,4.98,4.14,4,Fora,3
TKT-00144,SHP-00528,2026-07-06 07:51:33.974730153,Nordeste,Atraso,Média,7.9,16.99,8,Dentro,5
TKT-00145,SHP-00437,2026-07-15 09:42:22.023053249,Sul,Onde está meu pedido?,Média,8.04,48.58,8,Fora,3
TKT-00146,SHP-00124,2026-06-10 23:33:13.767479012,Sul,Reentrega,Baixa,8.48,13.16,16,Dentro,3
TKT-00147,SHP-00872,2026-07-20 04:33:47.665638422,Nordeste,Avaria,Média,11.62,39.49,8,Fora,2
TKT-00148,SHP-00782,2026-07-11 01:12:07.313531164,Nordeste,Endereço,Baixa,2.2,37.09,16,Dentro,4
TKT-00149,SHP-00527,2026-06-15 18:19:58.466556400,Sul,Avaria,Média,11.18,22.81,8,Fora,3
TKT-00150,SHP-00527,2026-06-16 02:51:46.116914274,Sul,Onde está meu pedido?,Média,4.63,40.59,8,Dentro,4
TKT-00151,SHP-00655,2026-06-26 02:23:43.906549633,Centro-Oeste,Endereço,Média,2.82,38.72,8,Dentro,4
TKT-00152,SHP-00388,2026-06-18 12:40:07.446841199,Sul,Reentrega,Média,1.57,24.08,8,Dentro,4
TKT-00153,SHP-00391,2026-07-12 23:54:41.337320433,Sudeste,Onde está meu pedido?,Baixa,9.82,40.04,16,Dentro,5
TKT-00154,SHP-00071,2026-06-22 02:36:39.373893294,Sul,Avaria,Média,4.13,16.74,8,Dentro,3
TKT-00155,SHP-00572,2026-06-21 18:57:34.188405875,Sudeste,Avaria,Alta,8.65,25.49,4,Fora,3
TKT-00156,SHP-00050,2026-07-03 08:33:32.837740495,Sul,Atraso,Média,9.27,37.82,8,Fora,3
TKT-00157,SHP-00653,2026-06-18 19:11:42.472877587,Sudeste,Onde está meu pedido?,Média,7.11,41.24,8,Dentro,3
TKT-00158,SHP-00444,2026-06-28 17:05:59.642340874,Sul,Reembolso,Média,6.49,7.45,8,Dentro,5
TKT-00159,SHP-00241,2026-07-22 14:54:45.076345292,Nordeste,Reentrega,Baixa,2.52,18.0,16,Dentro,3
TKT-00160,SHP-00133,2026-07-23 05:34:59.452195593,Nordeste,Reembolso,Média,11.84,42.15,8,Fora,4
TKT-00161,SHP-00447,2026-06-03 23:28:47.459657999,Sudeste,Reentrega,Alta,0.2,31.7,4,Dentro,4
TKT-00162,SHP-00207,2026-06-16 20:59:57.208404927,Nordeste,Onde está meu pedido?,Alta,3.57,8.35,4,Dentro,5
TKT-00163,SHP-00218,2026-07-09 22:10:49.830446081,Sul,Atraso,Média,8.49,46.3,8,Fora,3
TKT-00164,SHP-00686,2026-06-09 14:40:18.095387178,Sul,Avaria,Baixa,8.78,21.87,16,Dentro,2
TKT-00165,SHP-00430,2026-07-05 11:25:38.262851793,Nordeste,Reentrega,Baixa,6.0,26.6,16,Dentro,5
TKT-00166,SHP-00837,2026-07-21 15:21:39.323756145,Centro-Oeste,Onde está meu pedido?,Média,9.51,33.93,8,Fora,4
TKT-00167,SHP-00868,2026-07-20 21:38:54.175213914,Sul,Reentrega,Média,5.15,30.3,8,Dentro,5
TKT-00168,SHP-00588,2026-06-11 21:23:15.263438151,Sul,Endereço,Média,4.76,23.9,8,Dentro,3
TKT-00169,SHP-00828,2026-06-03 02:23:58.273576297,Sudeste,Onde está meu pedido?,Média,7.9,35.71,8,Dentro,3
TKT-00170,SHP-00455,2026-07-01 10:02:42.577129364,Centro-Oeste,Onde está meu pedido?,Baixa,5.98,55.82,16,Dentro,4
TKT-00171,SHP-00827,2026-07-07 13:29:37.474683136,Sul,Atraso,Alta,0.2,11.99,4,Dentro,5
TKT-00172,SHP-00864,2026-06-11 12:12:09.292142404,Centro-Oeste,Reentrega,Alta,6.37,37.72,4,Fora,4
TKT-00173,SHP-00845,2026-07-25 19:44:39.046290030,Sul,Endereço,Média,10.5,53.92,8,Fora,2
TKT-00174,SHP-00500,2026-06-03 20:06:58.950525240,Centro-Oeste,Atraso,Alta,8.02,11.02,4,Fora,4
TKT-00175,SHP-00621,2026-06-13 06:28:09.810337325,Sudeste,Avaria,Baixa,8.22,23.2,16,Dentro,4
TKT-00176,SHP-00365,2026-07-21 13:35:36.470610325,Nordeste,Avaria,Alta,5.6,23.96,4,Fora,4
TKT-00177,SHP-00252,2026-07-19 00:06:29.094001698,Sul,Reentrega,Baixa,9.16,17.45,16,Dentro,4
TKT-00178,SHP-00245,2026-06-07 00:49:53.214623607,Sul,Avaria,Baixa,3.01,15.31,16,Dentro,4
TKT-00179,SHP-00899,2026-07-06 23:27:43.393953568,Sudeste,Endereço,Alta,12.78,41.36,4,Fora,2
TKT-00180,SHP-00163,2026-07-16 13:01:58.678320958,Nordeste,Onde está meu pedido?,Alta,0.2,15.07,4,Dentro,5
TKT-00181,SHP-00819,2026-06-06 00:48:42.295906808,Sudeste,Avaria,Baixa,7.64,15.78,16,Dentro,5
TKT-00182,SHP-00108,2026-07-28 05:34:24.961882354,Centro-Oeste,Endereço,Média,0.2,29.18,8,Dentro,4
TKT-00183,SHP-00768,2026-06-29 19:24:07.652893806,Centro-Oeste,Reentrega,Média,11.86,17.59,8,Fora,3
TKT-00184,SHP-00364,2026-07-28 01:09:44.395368672,Sul,Reembolso,Média,2.18,37.2,8,Dentro,4
TKT-00185,SHP-00691,2026-07-07 00:50:48.644196621,Centro-Oeste,Onde está meu pedido?,Média,8.89,38.35,8,Fora,3
TKT-00186,SHP-00844,2026-07-15 08:42:58.971664261,Nordeste,Atraso,Média,11.23,23.62,8,Fora,3
TKT-00187,SHP-00820,2026-06-16 02:09:06.644010309,Sudeste,Atraso,Média,9.5,48.6,8,Fora,1
TKT-00188,SHP-00296,2026-07-29 11:16:32.418450735,Sul,Endereço,Média,14.86,25.73,8,Fora,2
TKT-00189,SHP-00404,2026-07-02 13:55:38.882330214,Sul,Avaria,Baixa,7.76,54.21,16,Dentro,2
TKT-00190,SHP-00377,2026-07-18 03:27:42.507216429,Sudeste,Avaria,Média,12.01,30.35,8,Fora,3
TKT-00191,SHP-00074,2026-07-08 21:19:27.439514285,Sul,Onde está meu pedido?,Média,2.44,26.64,8,Dentro,4
TKT-00192,SHP-00311,2026-06-23 06:08:19.598807406,Centro-Oeste,Avaria,Média,5.27,28.13,8,Dentro,3
TKT-00193,SHP-00106,2026-06-23 20:59:20.344985347,Sul,Reentrega,Média,3.26,43.74,8,Dentro,5
TKT-00194,SHP-00469,2026-06-15 18:38:37.491815960,Sul,Endereço,Média,10.32,36.77,8,Fora,2
TKT-00195,SHP-00638,2026-07-16 18:48:38.976124223,Nordeste,Avaria,Alta,1.15,11.79,4,Dentro,3
TKT-00196,SHP-00531,2026-07-17 17:35:07.739206364,Nordeste,Atraso,Baixa,6.57,23.4,16,Dentro,4
TKT-00197,SHP-00047,2026-07-16 13:15:57.849043463,Centro-Oeste,Reentrega,Baixa,6.56,49.32,16,Dentro,3
TKT-00198,SHP-00601,2026-07-01 01:48:10.471398450,Centro-Oeste,Reembolso,Alta,4.73,20.64,4,Fora,5
TKT-00199,SHP-00386,2026-08-01 03:12:05.691157023,Sudeste,Atraso,Média,6.46,13.1,8,Dentro,4
TKT-00200,SHP-00587,2026-08-02 16:37:06.210267239,Centro-Oeste,Onde está meu pedido?,Média,8.91,32.67,8,Fora,4
TKT-00201,SHP-00496,2026-07-24 03:30:10.807173036,Centro-Oeste,Onde está meu pedido?,Baixa,3.06,39.37,16,Dentro,1
TKT-00202,SHP-00201,2026-07-06 11:21:47.198298782,Nordeste,Atraso,Alta,0.2,15.2,4,Dentro,4
TKT-00203,SHP-00878,2026-07-05 07:29:48.542079770,Sul,Onde está meu pedido?,Alta,9.82,23.61,4,Fora,5
TKT-00204,SHP-00154,2026-07-07 04:24:32.447368914,Centro-Oeste,Avaria,Média,3.83,26.53,8,Dentro,3
TKT-00205,SHP-00615,2026-07-30 12:20:37.702412567,Nordeste,Avaria,Baixa,13.06,25.05,16,Dentro,5
TKT-00206,SHP-00132,2026-07-08 17:44:26.593921761,Centro-Oeste,Atraso,Média,11.88,22.22,8,Fora,2
TKT-00207,SHP-00789,2026-06-06 18:00:00.767593949,Sul,Reembolso,Média,11.05,19.6,8,Fora,2
TKT-00208,SHP-00839,2026-06-05 09:27:58.606260412,Centro-Oeste,Avaria,Média,7.79,27.85,8,Dentro,3
TKT-00209,SHP-00710,2026-07-02 19:55:52.648848402,Centro-Oeste,Avaria,Média,9.77,44.64,8,Fora,4
TKT-00210,SHP-00458,2026-07-22 08:27:17.306626321,Sul,Reentrega,Média,11.36,39.53,8,Fora,2
TKT-00211,SHP-00016,2026-07-20 03:33:40.054413390,Centro-Oeste,Avaria,Alta,6.03,22.43,4,Fora,3
TKT-00212,SHP-00452,2026-06-13 00:12:42.998033589,Sudeste,Atraso,Média,10.44,19.83,8,Fora,2
TKT-00213,SHP-00583,2026-07-31 18:21:03.008416147,Nordeste,Reentrega,Baixa,5.46,36.39,16,Dentro,5
TKT-00214,SHP-00662,2026-06-30 08:54:02.596200430,Nordeste,Onde está meu pedido?,Média,8.89,11.61,8,Fora,3
TKT-00215,SHP-00458,2026-07-22 21:34:19.741389131,Sul,Reembolso,Alta,3.8,29.0,4,Dentro,4
TKT-00216,SHP-00282,2026-07-21 01:02:27.024146324,Nordeste,Avaria,Baixa,13.88,30.59,16,Dentro,4
TKT-00217,SHP-00472,2026-07-10 00:32:30.247949927,Nordeste,Onde está meu pedido?,Média,6.76,12.27,8,Dentro,4
